MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
20009664,"['HIS1001', 'PHY2304', 'PHY2502', 'PHY3302', 'PHY3609', 'PHY3610', 'PHY3610 TNL', 'PHY3610E QTL', 'PHY3623', 'PHY3624']",10,"['PHY3610', 'PHY3623']",3
20009671,"['CHE1079', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'POL1001']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009675,"['CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'CHE3300', 'HIS1001', 'POL1001']",9,"['CHE2019', 'CHE2019 CLCCNH']",2
20009695,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE2115 TNH', 'CHE2115 TTH', 'CHE2116 TNH', 'CHE2116E TTH', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT']",14,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20009702,"['PHY2304', 'PHY2502', 'PHY3302', 'PHY3609', 'PHY3610', 'PHY3610 TNL', 'PHY3610E QTL', 'PHY3623', 'PHY3624', 'POL1001']",10,"['PHY3610', 'PHY3623']",3
20009704,"['PHY2304', 'PHY2502', 'PHY3302', 'PHY3609', 'PHY3610', 'PHY3610 TNL', 'PHY3610E QTL', 'PHY3623', 'PHY3624', 'POL1001']",10,"['PHY3610', 'PHY3623']",3
20009814,"['MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'MAT3365', 'MAT3372', 'MAT3507', 'PHY1100']",9,['MAT2317'],1
20009837,"['BIO3190', 'BIO3191', 'BIO3258E QTS', 'BIO3401E QTS', 'BIO3403E QTS', 'BIO3405E QTS', 'BIO3411 CLCCNS', 'CHE1057 QTS', 'CHE1058', 'CHE1058 CLCHD', 'CHE1058 CLCCNH', 'CHE1062', 'CHE1062 CLCHD', 'EVF2007', 'EVF2032', 'EVS4071', 'HIS1001', 'PHI1002', 'POL1001']",19,"['CHE1058 CLCHD', 'CHE1058', 'CHE1058 CLCCNH', 'CHE1062', 'CHE1062 CLCHD', 'HIS1001']",17
20009840,"['MAT2308', 'MAT2310', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT3300', 'MAT3305']",8,['MAT2317'],1
20009853,"['BIO2400E CLCCNS', 'BIO3182 CLCCNS', 'BIO3356 CLCCNS', 'BIO3803E CLCCNS', 'CHE1057 CLCCNS', 'GEO1050', 'HIS1001', 'MAT2403', 'MAT3506', 'MAT3514', 'PHI1002', 'PHY1100', 'POL1001']",13,['HIS1001'],1
