MSV,classCode,subjectCode
19004004,"['BIO2127 2CLCCNS', 'BIO2516 5CLCCNS', 'BIO3302E 6CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2800 1CLCCNS', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'BIO2127 CLCCNS']"
19004023,"['MAT2407 2', 'MAT3452 2']","['MAT2407', 'MAT3452']"
19004027,"['CHE2118E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'CHE2130E TTH', 'PHI1002 7']","['CHE2118E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'PHI1002', 'CHE2130E TTH']"
19004028,"['EVS2109', 'PHI1002 5', 'EVS3248', 'EVS2017', 'EVS3409', 'POL1001 2', 'EVS3244 1']","['EVS2109', 'EVS3248', 'POL1001', 'EVS2017', 'EVS3409', 'PHI1002', 'EVS3244']"
19004045,"['BIO2127 2CLCCNS', 'BIO3302E 6CLCCNS', 'BIO2516 6CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2800 6CLCCNS']","['BIO3302E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'BIO2127 CLCCNS']"
19004065,"['HIS1001 2', 'MAT3373', 'MAT3500 1']","['MAT3373', 'MAT3500', 'HIS1001']"
19004066,"['PHY3606', 'PHY3163', 'PHY3508 1', 'PHY3608']","['PHY3606', 'PHY3163', 'PHY3508', 'PHY3608']"
19004071,"['CHE1048', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD']","['CHE1048', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19004073,"['CHE3283 1CLCHD', 'CHE1067 1CLCHD', 'CHE2030E 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19004085,"['CHE2145E TTH', 'CHE3212 TTH', 'CHE2130E TTH']","['CHE2145E TTH', 'CHE3212 TTH', 'CHE2130E TTH']"
19004098,"['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']","['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']"
19004103,"['CHE1048', 'CHE2114E 2CLCHD', 'CHE1052 5CLCHD', 'CHE2030E 1CLCHD']","['CHE1052 CLCHD', 'CHE2030E CLCHD', 'CHE2114E CLCHD', 'CHE1048']"
19004127,"['CHE3283 1CLCHD', 'CHE1075E 1CLCHD', 'CHE2030E 1CLCHD']","['CHE2030E CLCHD', 'CHE1075E CLCHD', 'CHE3283 CLCHD']"
